Country,Average Temperature (Â°C),Humidity (%)
United States,8.7,37.5
India,37.5,48.7
Brazil,26.6,72.9
Germany,19.9,36.0
United Kingdom,-2.2,25.4
China,-2.2,40.3
Russia,-7.1,31.3
South Africa,33.3,85.1
Australia,20.1,76.6
Canada,25.4,64.3
France,-9.0,81.0
Italy,38.5,76.3
Spain,31.6,33.1
Mexico,0.6,82.5
Japan,-0.9,57.8
South Korea,-0.8,76.5
Indonesia,5.2,82.7
Saudi Arabia,16.2,42.3
Argentina,11.6,27.7
Turkey,4.6,36.0
Netherlands,20.6,49.9
Sweden,-3.0,77.3
Switzerland,4.6,80.3
Thailand,8.3,20.5
Poland,12.8,55.8
Belgium,29.3,49.2
Nigeria,-0.0,35.5
Egypt,15.7,28.4
Vietnam,19.6,43.6
Philippines,-7.7,86.0
Pakistan,20.4,42.6
Bangladesh,-1.5,56.3
Colombia,-6.7,69.2
Malaysia,37.4,45.5
Chile,38.3,88.0
United Arab Emirates,30.4,87.4
Ukraine,5.2,37.6
Czech Republic,-5.1,54.8
Portugal,24.2,41.1
Greece,12.0,39.9
Romania,-3.9,22.6
Austria,14.8,62.7
Norway,-8.3,55.2
Israel,35.5,23.6
Singapore,2.9,39.5
Denmark,23.1,83.6
Hungary,5.6,36.8
Ireland,16.0,30.1
New Zealand,17.3,54.3
Finland,-0.8,89.0
Kazakhstan,38.5,36.9
Algeria,28.8,67.0
Peru,37.0,73.3
Iraq,34.7,36.6
Morocco,19.9,71.0
Ecuador,36.1,45.7
Qatar,-5.6,64.3
Serbia,-0.2,64.3
Belarus,-7.7,57.5
Venezuela,6.3,26.3
Sri Lanka,9.4,78.5
Uzbekistan,3.6,42.5
Dominican Republic,31.4,33.1
Kenya,7.8,22.9
Sudan,4.0,61.4
Bolivia,17.1,67.4
Bulgaria,-3.0,21.2
Croatia,30.1,55.8
Slovakia,-6.3,35.9
Tunisia,39.3,65.2
Lebanon,28.6,32.2
Jordan,-0.1,68.4
Costa Rica,-9.7,47.1
Lithuania,30.8,85.6
Oman,25.3,29.6
Paraguay,26.5,43.9
Latvia,28.6,27.9
Estonia,-6.3,84.7
Bahrain,7.9,81.4
Cyprus,-4.2,38.1
Iceland,33.2,66.2
Mongolia,21.2,77.2
Panama,6.5,58.9
Kuwait,-6.8,57.1
Georgia,5.5,36.9
Uruguay,6.3,26.5
Jamaica,26.5,82.8
Armenia,21.9,83.0
Albania,34.4,64.3
Botswana,13.6,43.7
Malta,-4.0,44.4
Brunei,25.7,70.8
Namibia,28.0,82.8
Ghana,18.1,82.1
Ethiopia,28.5,74.6
Zambia,14.7,64.9
Senegal,16.1,25.9
Guatemala,11.4,31.3
Nepal,-8.7,82.9
Honduras,-4.6,62.5
Bosnia and Herzegovina,-8.4,20.6
Madagascar,21.8,27.1
Zimbabwe,5.7,66.4
Malawi,15.4,20.4
Rwanda,35.4,31.3
